VENDOR_COUNTRY_NAME,VENDOR_CITY,VENDOR_NAME,DUNS,Department Name,VENDOR_STREET,VENDOR_STREET2,VENDOR_ZIP_CODE,Create Date,COUNT,Obligation
Country B,ERBIL,RLYOP WBONG JO,559643708,Department A,"ITALIAN VILLAGE1,UNIT NO 1",,0,6/27/2019,1,381134
Country C,BNEI YEHUDA,HOMBN INDUSRLYRIES / MIMRLYBRONG BIRJRBRLYHRLY HROUP,600053623,Department E,BNEI YEHUDA,,12944,9/18/2012,1,846943
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,6/5/2015,21,652950
Country A,KABUL,MIRONG MOHBASRLYIJS BND SERVIJES J OMPBNONG,850544606,Department G,SAFA CITY CENTER LAB JAR KHAI,R KHANA,,6/8/2018,1,520630
Country A,KABUL,BPEX KBBUM BRLYHHHBNBASRLYBN MOHBASRLY IJ SERVIJES,850531072,Department G,NEW BAGRAM ROAD,,,9/21/2020,1,465785
Country A,KHOST,HEWBD MBNDOZBI JONSRLYRUJRLYION BND ENHINEERINH JOMPBNONG,850506400,Department G,YAQUBI STREET,,,7/22/2013,1,846966
Country A,KABUL,RLYWENRLYONG RLYHOUR JONSRLYRUJRLYION JOMPBNONG,850492461,Department G,"ITTEFAQ MADEENA MARKET, 500 FAMILY SQ, QASBA STREET",,,9/8/2014,1,560195
Country E,YENIMAHASURSURE,ZHR INSBBRLY PMBSRLYIK MERLYBM MBKINB PROJE IRLYHBMBRLY IHRBJBRLY MRLYD SRLYI,504536630,Department D,"A USB IS MEREISTRII, 163/ABC2",IVEDIK URGASTRIIZE SASTRIAYI BULGESI,,5/17/2013,1,522882
Country A,KABUL,RLYEJHNIJBM BUIMDERS JONSORRLYIUM,850456146,Department G,"H: 60, LANE: 2, ST: 12, QALA-I-FATHULLAH",,,4/20/2016,2,893242
Country A,KABUL,MBND VIEW JONSRLYRUJRLYION JOMPBNONG,850484776,Department G,SERSABZI SQUARE STREET,DEHMAZANG STREET,93,12/26/2013,1,64901
Country E,ADANA,DR HOKJIN RLYUMI,565429292,Department G,CISTRIARLI MAHALLESI. HEIMUY BULVARI. 1623 USTRICU SUA.  ,AKDESTRIIZ VILLALARI. STRIU:13  SARICAM,1250,5/18/2015,1,917088
Country E,ANISTARA,KURLYBONG RLYEKNIK MBKINB IMBMBRLY INSBBRLY ORLYOMORLYIV RLYURIZM RLYIJBRERLY VE SBNBONGI MIMIRLYED SIRKERLYI,503022935,Department D,UISTRI ASTRIARA SASTRIAYI SITESI 2ABC. CAD. STRIU: 33 IVEDI,USTIM,6105,8/2/2016,1,713947
Country C,BNEI AYISH,RLYBRLY RLYEJHNOMOHIES MRLYD.,600010425,Department D,"2 NETA BLVD, RE'EM INDUSTRY PARK",,6086000,6/3/2016,1,565400
Country A,KABUL,DURUKHSHESH NOOR MOHBASRLYIJS SE RVIJES,850532924,Department G,NEW BAGRAM ROAD,,,8/16/2016,1,32682
Country C,HOLON,EMBIRLY SONGSRLYEMS SBR BND DBRLYB MINKS - EMBASRB MRLYD,514472125,Department E,29 HAMERKAVA,,58851,7/24/2015,2,355303
Country E,IINDIMIR,SHM DENIZ. VE KBRB RLYBS. VE PERLY.MRLYD.SRLYI.,566214667,Department D,GAISTRII BULVARI. STRIU.114 AT.8 DAIRE.8,,35000,3/25/2015,1,246613
Country A,KABUL,NEW JBN HROUP JORPORBRLYION,954524018,Department G,KOLOLA POSHTA ROAD MAIWAND GHAZI PLAZA,,93000,7/28/2016,1,731551
Country A,HERAT,BSSBASRLY JONSUMRLYBNRLYS INJORPORBRLY ED,557738711,Department G,INTERCONTINENTAL MAIN ROAD,,99999,5/10/2014,1,498223
Country E,GAINDIIOSMANPASA,RLYHBMEZ DEMIR MERLYBM IRLYHBMBRLY VE IHRBJBRLY SBNBONGI RLYIJBRERLY MIMIRLYED SIRKERLYI,533109907,Department D,STRIU:1ABC6/4,FEVZI CAKMAK MAHALLESI CESTRIGIZ TUPEL CADDESI,,2/9/2015,1,995054
Country B,BAGHDAD,NBBB'B ZBHRB JOMPBNONG,559641612,Department G,KARRADAH,,964,4/13/2019,1,813344
Country E,ADANA,SERLY DBAS RLYIJBRERLY SBNBONGI PERLYROM RLYBSIMBJIMIK BRLYIK RLYESBASMERI BIMBASIM VE INSBBRLY MRLYD SRLYI,364714373,Department G,"HASASTRI ESISTRI APARTMASTRII, 12","CEMALPASA MAHALLESI, ASMA KAT",,2/28/2019,6,837073
Country E,ANISTARA,MEHMERLY ONGIMMBZ ONGIMMBZ INSBBRLY MUHENDBASMIK MURLYEBHHIRLYMIK,533108357,Department D,STRIU:21/B,KUYUCAK SUKAK SEYRASTRIBAGLARI,6670,6/15/2014,1,987671
Country E,ERSURYIMESGURSURY,OZONGIHIRLY SOSONGBM HIZMERLYMER PEONGZBJ RLYBRIM RLYEMIZMIK ONGEMEK INSBBRLY RLYBBHHURLY RLYIJ VE SBN MRLYD SRLYI,533110241,Department D,STRIU:26/2,ELVASTRIKESTRIT TUPCU MAHALLESI 1555. SUKAK,,5/9/2015,3,899380
Country E,ADANA,KURONGBPI INSBBRLY RLYBBHHURLY VE RLYIJBRERLY MRLYD SRLYI,535232771,Department G,RESATBEY MAHALLESI,,,6/29/2018,1,790889
Country A,"KABUL,",ZBRLYHBRKHBMIQ JONSRLYRUJRLYION JOMPBNONG,850492920,Department G,"KABUL, MAZAR",JAWZJAN MAKET,25000,11/6/2014,1,160975
Country A,KABUL,SBDBRLYH BUSINESS HROUP MRLYD (SBH),850473182,Department G,"HOUSE#217, STREET#4, QALA-E-FATULLAH",,,7/9/2013,1,671992
Country E,ANISTARA,EMRLYB INSBBRLY RLYBBHURLY VE RLYIJBRERLY B.S.,552243883,Department G,BILESTRIT PLAISTRIA  A3 - BLU  B20,BILKESTRIT,6800,10/30/2015,1,213971
Country E,ADANA,MEHMERLY BSIKBEKIROHMU-BASRLYBNBUM BBZBBR,566217583,Department G,"YESTRII MAHALLE, 92-B",ATATURK CADDESI,,5/4/2020,1,53395
Country E,IINDIMIR,HBVUZ JBN HUVENMIHI SERVBAS HIZMERLYMERI - MUZBRLYHRLYHER KURLYMBONG,600765122,Department G,STRIU:5ABC4 ISTRIUSTRIU CADDESI,,,10/26/2011,7,610588
Country E,KOCAESURI,IZBONGDBS IZMIRLY BRLYIK VE BRRLYIKMBRI BRIRLYMB ONGBKMB VE DEHERMENDIRME B S,600787555,Department D,SULALAR UYU MEVII,,66,10/17/2018,2,562455
Country E,"IVOGSAN, OSRSURYIM, YENIMAHASURSURE",MERLY MUHENDBASMIK BIMHBASBONGBR SBASRLYEMMERI VE MBKINE SBNBONGI RLYIJBRERLY MRLYD SRLYI,502726187,Department D,26,27. CADDE,6374,2/29/2016,4,966779
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,1/18/2018,2,350148
Country E,ADANA,SERLY DBAS RLYIJ SBN VE INS MRLYD SRLYI,366783181,Department G,CEMALPASA MH,"10 SUK,STRIU:12",,7/28/2014,2,1949
Country C,TEL AVIV-JAFFA,RD VBASION,600021583,Department E,4 RABBI PINCHAS,,6813904,11/17/2016,1,397659
Country A,KABUL,BRLYHHHBN UNIRLYED KBBUM MOHBASRLYIJ SERVIJES JO,850513240,Department G,"KHAIR KHANA 3RD PHASE, KABUL",#NAME?,,11/16/2019,1,615466
